Avg. price,Close,High,LTQ,LTT,Low,Lower circuit,Open,Upper circuit,Volume,change,exchange,holdings,ltp,symbol,timestamp,total_bids,total_offers
918.42,906.05,922.25,2,2020-04-27 09:19:15,914.20,815.45,914.20,996.65,"1,10,428",1.75 %,NSE,33,921.95,TITAN,2020-04-27 09:19:18.294304,"1,49,025","1,27,918"
918.45,906.05,922.25,124,2020-04-27 09:19:18,914.20,815.45,914.20,996.65,"1,11,498",1.76 %,NSE,33,922.00,TITAN,2020-04-27 09:19:19.295233,"1,49,195","1,26,737"
918.45,906.05,922.25,5,2020-04-27 09:19:18,914.20,815.45,914.20,996.65,"1,11,498",1.74 %,NSE,33,921.80,TITAN,2020-04-27 09:19:20.296157,"1,49,195","1,26,737"
918.48,906.05,922.25,1,2020-04-27 09:19:19,914.20,815.45,914.20,996.65,"1,12,259",1.75 %,NSE,33,921.95,TITAN,2020-04-27 09:19:21.297048,"1,48,991","1,26,246"
918.48,906.05,922.25,247,2020-04-27 09:19:20,914.20,815.45,914.20,996.65,"1,12,292",1.77 %,NSE,33,922.05,TITAN,2020-04-27 09:19:22.297949,"1,49,199","1,26,361"
918.49,906.05,922.25,2,2020-04-27 09:19:22,914.20,815.45,914.20,996.65,"1,12,657",1.76 %,NSE,33,922.00,TITAN,2020-04-27 09:19:23.298852,"1,49,207","1,26,193"
918.50,906.05,922.25,185,2020-04-27 09:19:22,914.20,815.45,914.20,996.65,"1,12,997",1.75 %,NSE,33,921.95,TITAN,2020-04-27 09:19:24.299769,"1,49,064","1,26,353"
918.52,906.05,922.25,17,2020-04-27 09:19:24,914.20,815.45,914.20,996.65,"1,13,610",1.67 %,NSE,33,921.20,TITAN,2020-04-27 09:19:25.300578,"1,48,226","1,26,670"
918.52,906.05,922.25,16,2020-04-27 09:19:24,914.20,815.45,914.20,996.65,"1,13,610",1.75 %,NSE,33,921.95,TITAN,2020-04-27 09:19:26.301473,"1,48,226","1,26,670"
918.53,906.05,922.25,50,2020-04-27 09:19:26,914.20,815.45,914.20,996.65,"1,13,884",1.74 %,NSE,33,921.80,TITAN,2020-04-27 09:19:27.302389,"1,48,157","1,27,849"
918.53,906.05,922.25,30,2020-04-27 09:19:27,914.20,815.45,914.20,996.65,"1,13,918",1.73 %,NSE,33,921.75,TITAN,2020-04-27 09:19:28.423662,"1,48,702","1,29,168"
918.53,906.05,922.25,21,2020-04-27 09:19:27,914.20,815.45,914.20,996.65,"1,13,918",1.69 %,NSE,33,921.40,TITAN,2020-04-27 09:19:29.424463,"1,48,702","1,29,168"
918.53,906.05,922.25,12,2020-04-27 09:19:28,914.20,815.45,914.20,996.65,"1,14,014",1.68 %,NSE,33,921.30,TITAN,2020-04-27 09:19:30.425390,"1,47,574","1,31,010"
918.54,906.05,922.25,20,2020-04-27 09:19:30,914.20,815.45,914.20,996.65,"1,14,547",1.56 %,NSE,33,920.20,TITAN,2020-04-27 09:19:31.426335,"1,46,906","1,31,273"
918.54,906.05,922.25,9,2020-04-27 09:19:31,914.20,815.45,914.20,996.65,"1,14,600",1.57 %,NSE,33,920.30,TITAN,2020-04-27 09:19:32.427036,"1,46,868","1,31,659"
918.54,906.05,922.25,1,2020-04-27 09:19:32,914.20,815.45,914.20,996.65,"1,14,760",1.57 %,NSE,33,920.25,TITAN,2020-04-27 09:19:33.427506,"1,46,704","1,32,415"
918.55,906.05,922.25,40,2020-04-27 09:19:33,914.20,815.45,914.20,996.65,"1,14,862",1.64 %,NSE,33,920.90,TITAN,2020-04-27 09:19:34.428341,"1,47,027","1,30,828"
918.55,906.05,922.25,45,2020-04-27 09:19:33,914.20,815.45,914.20,996.65,"1,14,862",1.64 %,NSE,33,920.95,TITAN,2020-04-27 09:19:35.429247,"1,47,027","1,30,828"
918.55,906.05,922.25,45,2020-04-27 09:19:33,914.20,815.45,914.20,996.65,"1,14,962",1.64 %,NSE,33,920.95,TITAN,2020-04-27 09:19:36.430110,"1,46,960","1,30,416"
918.55,906.05,922.25,45,2020-04-27 09:19:33,914.20,815.45,914.20,996.65,"1,14,962",1.64 %,NSE,33,920.95,TITAN,2020-04-27 09:19:37.430995,"1,47,051","1,31,649"
918.56,906.05,922.25,4,2020-04-27 09:19:38,914.20,815.45,914.20,996.65,"1,15,695",1.62 %,NSE,33,920.75,TITAN,2020-04-27 09:19:38.432743,"1,46,845","1,32,986"
918.56,906.05,922.25,4,2020-04-27 09:19:38,914.20,815.45,914.20,996.65,"1,15,699",1.62 %,NSE,33,920.75,TITAN,2020-04-27 09:19:39.432815,"1,46,819","1,32,928"
918.56,906.05,922.25,1,2020-04-27 09:19:39,914.20,815.45,914.20,996.65,"1,15,710",1.62 %,NSE,33,920.75,TITAN,2020-04-27 09:19:40.433713,"1,46,782","1,33,271"
918.56,906.05,922.25,20,2020-04-27 09:19:40,914.20,815.45,914.20,996.65,"1,15,735",1.61 %,NSE,33,920.65,TITAN,2020-04-27 09:19:41.434432,"1,46,746","1,34,194"
918.57,906.05,922.25,17,2020-04-27 09:19:41,914.20,815.45,914.20,996.65,"1,16,656",1.61 %,NSE,33,920.60,TITAN,2020-04-27 09:19:42.435310,"1,45,587","1,34,964"
918.59,906.05,922.25,2,2020-04-27 09:19:42,914.20,815.45,914.20,996.65,"1,17,531",1.64 %,NSE,33,920.95,TITAN,2020-04-27 09:19:43.436131,"1,46,478","1,30,972"
918.59,906.05,922.25,25,2020-04-27 09:19:42,914.20,815.45,914.20,996.65,"1,17,531",1.68 %,NSE,33,921.25,TITAN,2020-04-27 09:19:44.437014,"1,46,478","1,30,972"
918.60,906.05,922.25,40,2020-04-27 09:19:43,914.20,815.45,914.20,996.65,"1,18,253",1.63 %,NSE,33,920.80,TITAN,2020-04-27 09:19:45.437854,"1,46,543","1,32,232"
918.62,906.05,922.25,6,2020-04-27 09:19:45,914.20,815.45,914.20,996.65,"1,18,989",1.65 %,NSE,33,921.00,TITAN,2020-04-27 09:19:46.438690,"1,45,771","1,31,805"
918.62,906.05,922.25,46,2020-04-27 09:19:45,914.20,815.45,914.20,996.65,"1,18,989",1.65 %,NSE,33,921.00,TITAN,2020-04-27 09:19:47.439510,"1,45,771","1,31,805"
918.63,906.05,922.25,30,2020-04-27 09:19:47,914.20,815.45,914.20,996.65,"1,19,609",1.87 %,NSE,33,922.95,TITAN,2020-04-27 09:19:48.440312,"1,47,795","1,30,365"
918.74,906.05,922.95,37,2020-04-27 09:19:47,914.20,815.45,914.20,996.65,"1,23,528",1.87 %,NSE,33,923.00,TITAN,2020-04-27 09:19:49.444117,"1,49,005","1,28,025"
918.75,906.05,923.00,1,2020-04-27 09:19:49,914.20,815.45,914.20,996.65,"1,23,814",1.78 %,NSE,33,922.15,TITAN,2020-04-27 09:19:50.469566,"1,49,128","1,28,379"
918.75,906.05,923.00,3,2020-04-27 09:19:49,914.20,815.45,914.20,996.65,"1,23,814",1.80 %,NSE,33,922.35,TITAN,2020-04-27 09:19:51.470460,"1,49,128","1,28,379"
918.76,906.05,923.00,5,2020-04-27 09:19:51,914.20,815.45,914.20,996.65,"1,24,010",1.80 %,NSE,33,922.35,TITAN,2020-04-27 09:19:52.471337,"1,49,122","1,27,603"
918.76,906.05,923.00,158,2020-04-27 09:19:52,914.20,815.45,914.20,996.65,"1,24,210",1.80 %,NSE,33,922.35,TITAN,2020-04-27 09:19:53.472165,"1,50,075","1,27,717"
918.76,906.05,923.00,1,2020-04-27 09:19:53,914.20,815.45,914.20,996.65,"1,24,217",1.81 %,NSE,33,922.45,TITAN,2020-04-27 09:19:54.473074,"1,50,102","1,27,829"
918.77,906.05,923.00,15,2020-04-27 09:19:54,914.20,815.45,914.20,996.65,"1,24,382",1.80 %,NSE,33,922.35,TITAN,2020-04-27 09:19:55.473962,"1,50,092","1,27,209"
918.77,906.05,923.00,1,2020-04-27 09:19:55,914.20,815.45,914.20,996.65,"1,24,383",1.87 %,NSE,33,923.00,TITAN,2020-04-27 09:19:56.474802,"1,50,178","1,27,360"
918.77,906.05,923.00,10,2020-04-27 09:19:55,914.20,815.45,914.20,996.65,"1,24,383",1.80 %,NSE,33,922.35,TITAN,2020-04-27 09:19:57.475753,"1,50,178","1,27,360"
918.77,906.05,923.00,5,2020-04-27 09:19:57,914.20,815.45,914.20,996.65,"1,24,443",1.87 %,NSE,33,923.00,TITAN,2020-04-27 09:19:58.476638,"1,50,143","1,28,842"
918.79,906.05,923.05,12,2020-04-27 09:19:58,914.20,815.45,914.20,996.65,"1,24,946",1.78 %,NSE,33,922.20,TITAN,2020-04-27 09:19:59.477566,"1,50,690","1,29,080"
918.80,906.05,923.05,15,2020-04-27 09:19:59,914.20,815.45,914.20,996.65,"1,25,541",1.78 %,NSE,33,922.15,TITAN,2020-04-27 09:20:00.479125,"1,50,182","1,30,752"
918.83,906.05,923.05,3,2020-04-27 09:20:00,914.20,815.45,914.20,996.65,"1,26,484",1.76 %,NSE,33,922.00,TITAN,2020-04-27 09:20:01.555603,"1,48,394","1,33,051"
918.83,906.05,923.05,14,2020-04-27 09:20:01,914.20,815.45,914.20,996.65,"1,26,690",1.79 %,NSE,33,922.25,TITAN,2020-04-27 09:20:02.556495,"1,49,450","1,30,934"
918.84,906.05,923.05,36,2020-04-27 09:20:02,914.20,815.45,914.20,996.65,"1,27,025",1.86 %,NSE,33,922.90,TITAN,2020-04-27 09:20:03.557394,"1,49,582","1,32,716"
918.89,906.05,923.40,309,2020-04-27 09:20:03,914.20,815.45,914.20,996.65,"1,28,460",1.91 %,NSE,33,923.40,TITAN,2020-04-27 09:20:04.558305,"1,51,844","1,29,664"
918.89,906.05,923.45,25,2020-04-27 09:20:05,914.20,815.45,914.20,996.65,"1,28,528",1.83 %,NSE,33,922.65,TITAN,2020-04-27 09:20:05.559147,"1,53,583","1,30,420"
